"","id","entidad","sexo","edad","nivel_esc","esc_cve","esc_nombre","lenguaje","cognitivas","sociales","tecnicas","puesto","year_exp","bin_year_exp","trabajos_n","palabras_n","validaciones_n","contactos_n","rimbo_n","carrera_cve","sostenimiento","experiencia","p1","p2","p3","puesto_1"
"709",3733,9,"2","34","1",66,"CENTRO DE ESTUDIOS UNIVERSITARIOS XOCHICALCO",1,3,2,0,"4",10,1,14,82,0,500,0,3,"0","1",4,4,10000,1
"713",3737,9,"1","32","1",3126,"UNIVERSIDAD DE NEGOCIOS Y ESTUDIOS SUPERIORES, UNES",1,0,0,0,"4",8,1,10,61,11,500,1,6,"0","1",4,4,10000,1
"723",3747,15,"1","32","2",1786,"UNIVERSIDAD POLITÉCNICA DEL VALLE DE MÉXICO",1,0,2,0,"4",7,1,10,55,0,27,0,7,"1","1",3,2,8000,1
"724",3748,15,"1","36","2",511,"COLEGIO TECNOLÓGICO DE MÉXICO",1,0,0,0,"4",10,1,12,41,7,273,0,3,"0","1",5,4,10000,1
"737",3761,22,"1","35","1",1902,"INSTITUTO TECNOLÓGICO DE MORELIA",1,2,4,0,"2",4,1,16,90,0,446,0,6,"1","0",3,3,9000,0
"738",3762,9,"1","31","2",1393,"UNIVERSIDAD AUTÓNOMA DE GUADALAJARA",1,2,2,1,"2",8,1,16,112,0,500,0,9,"0","1",4,4,10000,0
"741",3765,9,"1","36","1",1917,"UNIVERSIDAD MICHOACANA DE SAN NICOLÁS DE HIDALGO",1,0,3,0,"3",14,1,18,61,7,157,0,4,"1","1",3,2,5000,1
"743",3767,1,"2","31","2",1917,"UNIVERSIDAD MICHOACANA DE SAN NICOLÁS DE HIDALGO",0,0,2,0,"4",7,1,13,40,0,346,3,3,"1","1",4,4,10000,1
"748",3773,9,"1","22","2",651,"UNIVERSIDAD TECNOLÓGICA DE MÉXICO",1,1,0,0,"4",10,1,10,44,0,266,0,4,"0","1",4,4,8000,1
"755",3781,9,"1","31","2",3536,"UNIVERSIDAD AUTÓNOMA DE ZACATECAS",1,0,2,5,"4",3,1,10,78,5,219,1,6,"1","1",3,3,10500,1
"763",3789,9,"2","33","1",2732,"UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO",1,2,0,0,"4",13,1,12,125,0,296,1,3,"0","1",3,3,9000,1
"766",3792,14,"1","34","2",2090,"UNIVERSIDAD AUTÓNOMA DE NAYARIT",0,1,0,1,"4",6,1,10,76,0,396,5,3,"1","1",4,3,10200,1
"771",3797,15,"2","31","1",2090,"UNIVERSIDAD AUTÓNOMA DE NAYARIT",1,0,1,0,"4",7,1,10,42,6,267,0,3,"1","1",3,2,8200,1
"777",4015,15,"1","36","1",1623,"UNIVERSIDAD ANÁHUAC",1,7,4,3,"4",10,1,21,192,77,500,3,9,"0","1",3,2,8900,1
"788",4055,9,"2","31","1",1635,"UNIVERSIDAD DEL VALLE DE MÉXICO",1,6,4,2,"4",15,1,22,144,6,500,5,4,"0","1",4,4,9500,1
"794",4061,22,"2","34","2",1635,"UNIVERSIDAD DEL VALLE DE MÉXICO",1,11,6,3,"4",14,1,12,264,0,500,1,4,"0","1",4,3,8300,1
"795",4062,9,"2","31","1",1635,"UNIVERSIDAD DEL VALLE DE MÉXICO",1,10,9,3,"1",9,1,15,356,1798,500,2,3,"0","1",5,3,10000,0
"798",4065,9,"1","36","1",1635,"UNIVERSIDAD DEL VALLE DE MÉXICO",1,0,2,0,"4",11,1,3,45,7,500,0,3,"0","0",4,3,7800,1
"802",4070,9,"1","26","2",1635,"UNIVERSIDAD DEL VALLE DE MÉXICO",0,4,10,10,"4",10,1,10,165,24,338,3,4,"0","1",4,4,11000,1
"804",4072,15,"1","41","2",1635,"UNIVERSIDAD DEL VALLE DE MÉXICO",1,6,4,3,"4",13,1,38,322,0,296,7,6,"0","1",5,4,14000,1
"806",4075,9,"2","29","1",651,"UNIVERSIDAD TECNOLÓGICA DE MÉXICO",1,2,2,1,"4",8,1,15,49,0,66,0,3,"0","1",3,2,8600,1
"808",4079,9,"2","30","1",651,"UNIVERSIDAD TECNOLÓGICA DE MÉXICO",1,5,2,0,"4",5,1,16,178,46,346,0,3,"0","1",3,3,8600,1
"828",4113,9,"2","30","1",1631,"UNIVERSIDAD DE CUAUTITLÁN IZCALLI",1,4,9,4,"4",9,1,12,110,67,500,0,3,"0","1",3,4,9500,1
"834",4119,9,"1","28","1",3114,"UNIVERSIDAD MIGUEL ALEMÁN",1,4,1,0,"4",8,1,6,67,0,122,0,7,"0","1",4,2,8000,1
"835",4120,19,"1","33","1",3114,"UNIVERSIDAD MIGUEL ALEMÁN",1,5,5,1,"4",11,1,18,128,8,500,0,6,"0","1",3,2,9000,1
"836",4121,9,"1","31","1",3114,"UNIVERSIDAD MIGUEL ALEMÁN",0,0,3,2,"4",5,1,18,70,0,273,0,7,"0","1",1,1,7000,1
"840",4125,22,"1","28","2",3114,"UNIVERSIDAD MIGUEL ALEMÁN",1,2,7,2,"4",9,1,10,573,0,147,5,7,"0","1",3,2,8000,1
"841",4126,9,"1","33","2",3114,"UNIVERSIDAD MIGUEL ALEMÁN",1,6,6,2,"2",7,1,22,749,31,251,0,7,"0","0",3,2,8000,0
"849",4134,22,"1","31","2",801,"INSTITUTO TECNOLÓGICO DE LA LAGUNA",1,2,1,2,"4",6,1,18,120,93,344,0,7,"1","1",3,4,9000,1
"876",4164,22,"2","32","2",2683,"INSTITUTO TECNOLÓGICO DE QUERÉTARO",1,5,10,0,"4",9,1,14,283,6,231,2,4,"1","1",3,3,10000,1
"880",4168,15,"1","32","1",711,"UNIVERSIDAD DEL EJÉRCITO Y FUERZA AÉREA",1,5,4,3,"4",6,1,10,386,0,80,1,4,"1","1",2,1,6000,1
"891",4182,9,"1","31","2",3001,"UNIVERSIDAD DE NEGOCIOS DE TABASCO",1,2,3,3,"4",14,1,8,105,0,110,0,6,"0","1",3,2,8500,1
"894",4185,9,"2","31","1",3001,"UNIVERSIDAD DE NEGOCIOS DE TABASCO",1,9,3,2,"2",10,1,8,139,64,449,1,4,"0","1",3,3,9000,0
